transaction_id,account_id,timestamp,asset,amount,amount_usd,transaction_type,source_wallet,destination_wallet,device_id,ip_country,account_age_days,ground_truth_label,anomaly_type
TX-0000271,ACC-00010,2025-01-02T09:30:00+00:00,USDC,929.74253302,929.74,trade,WALLET-ACC-00010,EXTERNAL-OUT,DEV-00010-A,DE,1007,0,normal
TX-0000362,ACC-00013,2025-01-02T10:17:00+00:00,USDC,235.91279396,235.91,transfer_in,CP-ACC-00013-03,WALLET-ACC-00013,DEV-00013-A,SG,472,0,normal
TX-0001021,ACC-00035,2025-01-02T11:50:00+00:00,USDT,691.05343329,691.05,withdrawal,WALLET-ACC-00035,CP-ACC-00035-01,DEV-00035-A,DE,674,0,normal
TX-0000241,ACC-00009,2025-01-02T12:24:00+00:00,BTC,0.04222362,2533.42,withdrawal,WALLET-ACC-00009,CP-ACC-00009-03,DEV-00009-A,US,1004,0,normal
TX-0000363,ACC-00013,2025-01-02T12:24:00+00:00,BTC,0.01249881,749.93,trade,WALLET-ACC-00013,EXTERNAL-OUT,DEV-00013-A,SG,472,0,normal
TX-0000961,ACC-00033,2025-01-02T13:06:00+00:00,USDC,447.21115878,447.21,withdrawal,WALLET-ACC-00033,CP-ACC-00033-06,DEV-00033-A,SG,273,0,normal
TX-0000031,ACC-00002,2025-01-02T13:45:00+00:00,USDT,251.16595965,251.17,transfer_in,CP-ACC-00002-04,WALLET-ACC-00002,DEV-00002-A,JP,980,0,normal
TX-0000902,ACC-00031,2025-01-02T14:04:00+00:00,USDT,509.11054725,509.11,transfer_in,CP-ACC-00031-06,WALLET-ACC-00031,DEV-00031-A,TW,332,0,normal
TX-0000543,ACC-00019,2025-01-02T14:24:00+00:00,USDT,1219.24756257,1219.25,deposit,CP-ACC-00019-04,WALLET-ACC-00019,DEV-00019-A,US,1280,0,normal
TX-0001291,ACC-00044,2025-01-02T15:37:00+00:00,USDT,305.00968631,305.01,trade,WALLET-ACC-00044,EXTERNAL-OUT,DEV-00044-A,US,664,0,normal
TX-0000661,ACC-00023,2025-01-02T15:45:00+00:00,USDT,1252.59514232,1252.6,withdrawal,WALLET-ACC-00023,CP-ACC-00023-03,DEV-00023-A,SG,626,0,normal
TX-0000841,ACC-00029,2025-01-02T16:25:00+00:00,USDT,630.36129614,630.36,trade,WALLET-ACC-00029,EXTERNAL-OUT,DEV-00029-B,US,901,0,normal
TX-0000272,ACC-00010,2025-01-02T16:47:00+00:00,USDT,213.56820441,213.57,transfer_out,WALLET-ACC-00010,CP-ACC-00010-01,DEV-00010-A,DE,1007,0,normal
TX-0000331,ACC-00012,2025-01-02T16:48:00+00:00,USDT,1419.72087487,1419.72,deposit,CP-ACC-00012-06,WALLET-ACC-00012,DEV-00012-A,JP,546,0,normal
TX-0001382,ACC-00047,2025-01-02T17:02:00+00:00,ETH,0.29145951,874.38,trade,WALLET-ACC-00047,EXTERNAL-OUT,DEV-00047-A,JP,694,0,normal
TX-0001711,ACC-00058,2025-01-02T19:48:00+00:00,USDT,617.730059,617.73,transfer_out,WALLET-ACC-00058,CP-ACC-00058-06,DEV-00058-A,SG,1407,0,normal
TX-0001383,ACC-00047,2025-01-02T20:42:00+00:00,USDT,765.18391215,765.18,deposit,CP-ACC-00047-04,WALLET-ACC-00047,DEV-00047-A,JP,694,0,normal
TX-0000752,ACC-00026,2025-01-03T07:19:00+00:00,USDT,1110.79719229,1110.8,trade,WALLET-ACC-00026,EXTERNAL-OUT,DEV-00026-B,TW,722,0,normal
TX-0000633,ACC-00022,2025-01-03T07:35:00+00:00,ETH,0.25992677,779.78,transfer_in,CP-ACC-00022-01,WALLET-ACC-00022,DEV-00022-A,JP,468,0,normal
TX-0000364,ACC-00013,2025-01-03T07:36:00+00:00,USDC,653.20079001,653.2,withdrawal,WALLET-ACC-00013,CP-ACC-00013-04,DEV-00013-A,SG,472,0,normal
TX-0001111,ACC-00038,2025-01-03T08:09:00+00:00,USDC,1123.1882317,1123.19,trade,WALLET-ACC-00038,EXTERNAL-OUT,DEV-00038-A,SG,1556,0,normal
TX-0000962,ACC-00033,2025-01-03T08:22:00+00:00,ETH,0.14898674,446.96,deposit,CP-ACC-00033-02,WALLET-ACC-00033,DEV-00033-A,SG,273,0,normal
TX-0000722,ACC-00025,2025-01-03T09:19:00+00:00,USDC,445.93581875,445.94,transfer_in,CP-ACC-00025-01,WALLET-ACC-00025,DEV-00025-A,DE,1337,0,normal
TX-0000092,ACC-00004,2025-01-03T09:21:00+00:00,USDT,881.99222977,881.99,transfer_in,CP-ACC-00004-02,WALLET-ACC-00004,DEV-00004-A,US,1214,0,normal
TX-0001292,ACC-00044,2025-01-03T09:46:00+00:00,USDT,268.77840697,268.78,trade,WALLET-ACC-00044,EXTERNAL-OUT,DEV-00044-A,US,664,0,normal
TX-0001171,ACC-00040,2025-01-03T10:10:00+00:00,BTC,0.00768917,461.35,trade,WALLET-ACC-00040,EXTERNAL-OUT,DEV-00040-A,DE,701,0,normal
TX-0000572,ACC-00020,2025-01-03T10:28:00+00:00,USDT,215.41434912,215.41,transfer_out,WALLET-ACC-00020,CP-ACC-00020-04,DEV-00020-B,DE,504,0,normal
TX-0000302,ACC-00011,2025-01-03T10:30:00+00:00,BTC,0.01460923,876.55,transfer_out,WALLET-ACC-00011,CP-ACC-00011-04,DEV-00011-A,TW,1007,0,normal
TX-0001501,ACC-00051,2025-01-03T10:41:00+00:00,USDT,823.93676095,823.94,trade,WALLET-ACC-00051,EXTERNAL-OUT,DEV-00051-A,TW,1185,0,normal
TX-0000634,ACC-00022,2025-01-03T10:44:00+00:00,USDC,966.19187501,966.19,trade,WALLET-ACC-00022,EXTERNAL-OUT,DEV-00022-A,JP,468,0,normal
TX-0000721,ACC-00025,2025-01-03T11:17:00+00:00,ETH,0.10299833,308.99,transfer_out,WALLET-ACC-00025,CP-ACC-00025-02,DEV-00025-A,DE,1337,0,normal
TX-0001712,ACC-00058,2025-01-03T12:15:00+00:00,USDT,942.9562718,942.96,withdrawal,WALLET-ACC-00058,CP-ACC-00058-04,DEV-00058-A,SG,1407,0,normal
TX-0001082,ACC-00037,2025-01-03T13:25:00+00:00,ETH,0.26090607,782.72,transfer_in,CP-ACC-00037-01,WALLET-ACC-00037,DEV-00037-A,JP,817,0,normal
TX-0000692,ACC-00024,2025-01-03T13:29:00+00:00,USDT,368.70984989,368.71,transfer_in,CP-ACC-00024-04,WALLET-ACC-00024,DEV-00024-A,US,831,0,normal
TX-0001052,ACC-00036,2025-01-03T14:05:00+00:00,ETH,0.16544374,496.33,trade,WALLET-ACC-00036,EXTERNAL-OUT,DEV-00036-A,TW,1534,0,normal
TX-0001472,ACC-00050,2025-01-03T14:30:00+00:00,USDT,727.0935251,727.09,withdrawal,WALLET-ACC-00050,CP-ACC-00050-06,DEV-00050-A,DE,284,0,normal
TX-0000242,ACC-00009,2025-01-03T14:42:00+00:00,USDT,265.42571897,265.43,transfer_out,WALLET-ACC-00009,CP-ACC-00009-01,DEV-00009-A,US,1004,0,normal
TX-0000301,ACC-00011,2025-01-03T14:59:00+00:00,USDT,893.48743522,893.49,trade,WALLET-ACC-00011,EXTERNAL-OUT,DEV-00011-A,TW,1007,0,normal
TX-0000751,ACC-00026,2025-01-03T15:24:00+00:00,USDC,364.73448357,364.73,trade,WALLET-ACC-00026,EXTERNAL-OUT,DEV-00026-A,TW,722,0,normal
TX-0000365,ACC-00013,2025-01-03T15:29:00+00:00,ETH,0.14273014,428.19,transfer_in,CP-ACC-00013-04,WALLET-ACC-00013,DEV-00013-A,SG,472,0,normal
TX-0000511,ACC-00018,2025-01-03T15:32:00+00:00,BTC,0.00896799,538.08,deposit,CP-ACC-00018-02,WALLET-ACC-00018,DEV-00018-A,SG,1040,0,normal
TX-0001202,ACC-00041,2025-01-03T15:36:00+00:00,USDT,309.2860389,309.29,trade,WALLET-ACC-00041,EXTERNAL-OUT,DEV-00041-A,TW,556,0,normal
TX-0001411,ACC-00048,2025-01-03T15:39:00+00:00,USDT,500.12141043,500.12,trade,WALLET-ACC-00048,EXTERNAL-OUT,DEV-00048-A,SG,1172,0,normal
TX-0000061,ACC-00003,2025-01-03T15:48:00+00:00,USDT,1598.48761122,1598.49,withdrawal,WALLET-ACC-00003,CP-ACC-00003-02,DEV-00003-A,SG,1110,0,normal
TX-0000662,ACC-00023,2025-01-03T16:08:00+00:00,USDT,672.36190298,672.36,withdrawal,WALLET-ACC-00023,CP-ACC-00023-05,DEV-00023-B,SG,626,0,normal
TX-0000603,ACC-00021,2025-01-03T16:28:00+00:00,BTC,0.04004524,2402.71,withdrawal,WALLET-ACC-00021,CP-ACC-00021-03,DEV-00021-A,TW,949,0,normal
TX-0000182,ACC-00007,2025-01-03T17:29:00+00:00,ETH,0.29074211,872.23,trade,WALLET-ACC-00007,EXTERNAL-OUT,DEV-00007-A,JP,1304,0,normal
TX-0000811,ACC-00028,2025-01-03T18:21:00+00:00,USDT,1093.42301839,1093.42,transfer_out,WALLET-ACC-00028,CP-ACC-00028-01,DEV-00028-B,SG,1285,0,normal
TX-0000273,ACC-00010,2025-01-03T18:30:00+00:00,USDT,428.55698287,428.56,deposit,CP-ACC-00010-01,WALLET-ACC-00010,DEV-00010-A,DE,1007,0,normal
TX-0000062,ACC-00003,2025-01-03T18:38:00+00:00,USDT,1019.34611592,1019.35,transfer_out,WALLET-ACC-00003,CP-ACC-00003-01,DEV-00003-A,SG,1110,0,normal
TX-0001384,ACC-00047,2025-01-03T19:57:00+00:00,USDT,2112.01070136,2112.01,withdrawal,WALLET-ACC-00047,CP-ACC-00047-04,DEV-00047-A,JP,694,0,normal
TX-0001172,ACC-00040,2025-01-03T20:28:00+00:00,ETH,0.18716237,561.49,trade,WALLET-ACC-00040,EXTERNAL-OUT,DEV-00040-A,DE,701,0,normal
TX-0000871,ACC-00030,2025-01-03T21:03:00+00:00,USDT,584.40538568,584.41,deposit,CP-ACC-00030-04,WALLET-ACC-00030,DEV-00030-A,DE,801,0,normal
TX-0001531,ACC-00052,2025-01-03T21:08:00+00:00,ETH,0.14804872,444.15,withdrawal,WALLET-ACC-00052,CP-ACC-00052-03,DEV-00052-A,JP,523,0,normal
TX-0000691,ACC-00024,2025-01-03T21:19:00+00:00,USDT,258.07352964,258.07,trade,WALLET-ACC-00024,EXTERNAL-OUT,DEV-00024-A,US,831,0,normal
TX-0001651,ACC-00056,2025-01-04T06:11:00+00:00,USDC,152.80803907,152.81,transfer_in,CP-ACC-00056-05,WALLET-ACC-00056,DEV-00056-A,TW,890,0,normal
TX-0000723,ACC-00025,2025-01-04T06:39:00+00:00,BTC,0.01592916,955.75,withdrawal,WALLET-ACC-00025,CP-ACC-00025-03,DEV-00025-B,DE,1337,0,normal
TX-0001386,ACC-00047,2025-01-04T06:41:00+00:00,BTC,0.01515638,909.38,deposit,CP-ACC-00047-02,WALLET-ACC-00047,DEV-00047-A,JP,694,0,normal
TX-0000332,ACC-00012,2025-01-04T07:26:00+00:00,USDT,689.87887745,689.88,deposit,CP-ACC-00012-01,WALLET-ACC-00012,DEV-00012-A,JP,546,0,normal
TX-0000724,ACC-00025,2025-01-04T08:19:00+00:00,USDC,770.51770345,770.52,withdrawal,WALLET-ACC-00025,CP-ACC-00025-04,DEV-00025-A,DE,1337,0,normal
TX-0001473,ACC-00050,2025-01-04T08:22:00+00:00,ETH,0.28174034,845.22,trade,WALLET-ACC-00050,EXTERNAL-OUT,DEV-00050-B,DE,284,0,normal
TX-0000244,ACC-00009,2025-01-04T09:08:00+00:00,ETH,0.28705316,861.16,trade,WALLET-ACC-00009,EXTERNAL-OUT,DEV-00009-A,US,1004,0,normal
TX-0001388,ACC-00047,2025-01-04T09:55:00+00:00,USDT,1069.76035862,1069.76,deposit,CP-ACC-00047-01,WALLET-ACC-00047,DEV-00047-A,JP,694,0,normal
TX-0000842,ACC-00029,2025-01-04T10:41:00+00:00,ETH,0.18742342,562.27,transfer_out,WALLET-ACC-00029,CP-ACC-00029-06,DEV-00029-A,US,901,0,normal
TX-0000573,ACC-00020,2025-01-04T11:28:00+00:00,ETH,0.10483403,314.5,trade,WALLET-ACC-00020,EXTERNAL-OUT,DEV-00020-A,DE,504,0,normal
TX-0001713,ACC-00058,2025-01-04T11:32:00+00:00,USDC,941.32057453,941.32,trade,WALLET-ACC-00058,EXTERNAL-OUT,DEV-00058-A,SG,1407,0,normal
TX-0001385,ACC-00047,2025-01-04T11:33:00+00:00,BTC,0.01531372,918.82,transfer_in,CP-ACC-00047-03,WALLET-ACC-00047,DEV-00047-A,JP,694,0,normal
TX-0001351,ACC-00046,2025-01-04T11:34:00+00:00,USDC,674.97163473,674.97,transfer_out,WALLET-ACC-00046,CP-ACC-00046-06,DEV-00046-A,TW,738,0,normal
TX-0000001,ACC-00001,2025-01-04T11:46:00+00:00,ETH,0.11187001,335.61,transfer_in,CP-ACC-00001-05,WALLET-ACC-00001,DEV-00001-A,TW,252,0,normal
TX-0001561,ACC-00053,2025-01-04T11:57:00+00:00,BTC,0.0025641,153.85,trade,WALLET-ACC-00053,EXTERNAL-OUT,DEV-00053-A,SG,1239,0,normal
TX-0000663,ACC-00023,2025-01-04T12:20:00+00:00,USDT,744.83630638,744.84,transfer_out,WALLET-ACC-00023,CP-ACC-00023-03,DEV-00023-A,SG,626,0,normal
TX-0000482,ACC-00017,2025-01-04T12:52:00+00:00,ETH,0.20984759,629.54,trade,WALLET-ACC-00017,EXTERNAL-OUT,DEV-00017-A,JP,666,0,normal
TX-0000093,ACC-00004,2025-01-04T12:53:00+00:00,ETH,0.25009196,750.28,transfer_out,WALLET-ACC-00004,CP-ACC-00004-06,DEV-00004-A,US,1214,0,normal
TX-0001023,ACC-00035,2025-01-04T13:09:00+00:00,USDT,720.89011743,720.89,trade,WALLET-ACC-00035,EXTERNAL-OUT,DEV-00035-B,DE,674,0,normal
TX-0001652,ACC-00056,2025-01-04T13:11:00+00:00,ETH,0.07065552,211.97,deposit,CP-ACC-00056-06,WALLET-ACC-00056,DEV-00056-A,TW,890,0,normal
TX-0000512,ACC-00018,2025-01-04T13:32:00+00:00,USDC,152.72773537,152.73,trade,WALLET-ACC-00018,EXTERNAL-OUT,DEV-00018-A,SG,1040,0,normal
TX-0000063,ACC-00003,2025-01-04T14:07:00+00:00,USDT,915.79002528,915.79,withdrawal,WALLET-ACC-00003,CP-ACC-00003-03,DEV-00003-A,SG,1110,0,normal
TX-0001387,ACC-00047,2025-01-04T14:36:00+00:00,USDT,831.26028878,831.26,deposit,CP-ACC-00047-03,WALLET-ACC-00047,DEV-00047-B,JP,694,0,normal
TX-0001262,ACC-00043,2025-01-04T15:17:00+00:00,USDT,609.66459646,609.66,trade,WALLET-ACC-00043,EXTERNAL-OUT,DEV-00043-A,SG,1396,0,normal
TX-0001022,ACC-00035,2025-01-04T15:23:00+00:00,USDT,1068.9453902,1068.95,trade,WALLET-ACC-00035,EXTERNAL-OUT,DEV-00035-B,DE,674,0,normal
TX-0000575,ACC-00020,2025-01-04T15:26:00+00:00,BTC,0.01032337,619.4,trade,WALLET-ACC-00020,EXTERNAL-OUT,DEV-00020-A,DE,504,0,normal
TX-0000693,ACC-00024,2025-01-04T16:23:00+00:00,USDC,270.43090133,270.43,transfer_out,WALLET-ACC-00024,CP-ACC-00024-06,DEV-00024-A,US,831,0,normal
TX-0000694,ACC-00024,2025-01-04T17:02:00+00:00,USDT,272.82747946,272.83,trade,WALLET-ACC-00024,EXTERNAL-OUT,DEV-00024-A,US,831,0,normal
TX-0000574,ACC-00020,2025-01-04T17:12:00+00:00,USDC,1036.46993533,1036.47,trade,WALLET-ACC-00020,EXTERNAL-OUT,DEV-00020-A,DE,504,0,normal
TX-0000333,ACC-00012,2025-01-04T17:20:00+00:00,USDT,1051.25019983,1051.25,transfer_out,WALLET-ACC-00012,CP-ACC-00012-05,DEV-00012-A,JP,546,0,normal
TX-0000183,ACC-00007,2025-01-04T17:22:00+00:00,USDT,919.18116317,919.18,deposit,CP-ACC-00007-02,WALLET-ACC-00007,DEV-00007-A,JP,1304,0,normal
TX-0001742,ACC-00059,2025-01-04T17:22:00+00:00,USDT,239.9512065,239.95,trade,WALLET-ACC-00059,EXTERNAL-OUT,DEV-00059-A,US,1088,0,normal
TX-0001024,ACC-00035,2025-01-04T17:34:00+00:00,USDC,1032.44695002,1032.45,withdrawal,WALLET-ACC-00035,CP-ACC-00035-04,DEV-00035-A,DE,674,0,normal
TX-0001623,ACC-00055,2025-01-04T17:47:00+00:00,USDT,138.33000104,138.33,deposit,CP-ACC-00055-04,WALLET-ACC-00055,DEV-00055-A,DE,1372,0,normal
TX-0001412,ACC-00048,2025-01-04T17:57:00+00:00,ETH,0.04931289,147.94,trade,WALLET-ACC-00048,EXTERNAL-OUT,DEV-00048-A,SG,1172,0,normal
TX-0001562,ACC-00053,2025-01-04T18:27:00+00:00,USDT,835.71644414,835.72,transfer_in,CP-ACC-00053-05,WALLET-ACC-00053,DEV-00053-B,SG,1239,0,normal
TX-0000604,ACC-00021,2025-01-04T18:33:00+00:00,USDT,736.43321684,736.43,transfer_out,WALLET-ACC-00021,CP-ACC-00021-02,DEV-00021-A,TW,949,0,normal
TX-0000243,ACC-00009,2025-01-04T18:38:00+00:00,ETH,0.2496858,749.06,trade,WALLET-ACC-00009,EXTERNAL-OUT,DEV-00009-A,US,1004,0,normal
TX-0001142,ACC-00039,2025-01-04T18:41:00+00:00,USDC,159.54875917,159.55,trade,WALLET-ACC-00039,EXTERNAL-OUT,DEV-00039-A,US,332,0,normal
TX-0000274,ACC-00010,2025-01-04T18:43:00+00:00,USDT,488.74614527,488.75,trade,WALLET-ACC-00010,EXTERNAL-OUT,DEV-00010-A,DE,1007,0,normal
TX-0000872,ACC-00030,2025-01-04T18:55:00+00:00,USDT,282.41363474,282.41,deposit,CP-ACC-00030-01,WALLET-ACC-00030,DEV-00030-A,DE,801,0,normal
TX-0001532,ACC-00052,2025-01-04T19:12:00+00:00,USDT,1157.74428948,1157.74,withdrawal,WALLET-ACC-00052,CP-ACC-00052-05,DEV-00052-B,JP,523,0,normal
TX-0000963,ACC-00033,2025-01-04T19:19:00+00:00,USDC,1297.0870721,1297.09,withdrawal,WALLET-ACC-00033,CP-ACC-00033-01,DEV-00033-B,SG,273,0,normal
TX-0000812,ACC-00028,2025-01-04T20:51:00+00:00,ETH,0.10601266,318.04,trade,WALLET-ACC-00028,EXTERNAL-OUT,DEV-00028-A,SG,1285,0,normal
TX-0000391,ACC-00014,2025-01-04T21:00:00+00:00,BTC,0.00988891,593.33,transfer_out,WALLET-ACC-00014,CP-ACC-00014-03,DEV-00014-A,US,1364,0,normal
TX-0001653,ACC-00056,2025-01-04T21:01:00+00:00,USDT,141.33240582,141.33,transfer_out,WALLET-ACC-00056,CP-ACC-00056-01,DEV-00056-A,TW,890,0,normal
TX-0000696,ACC-00024,2025-01-05T06:04:00+00:00,BTC,0.01005383,603.23,deposit,CP-ACC-00024-03,WALLET-ACC-00024,DEV-00024-A,US,831,0,normal
TX-0000513,ACC-00018,2025-01-05T08:15:00+00:00,ETH,0.33941897,1018.26,deposit,CP-ACC-00018-03,WALLET-ACC-00018,DEV-00018-A,SG,1040,0,normal
TX-0000636,ACC-00022,2025-01-05T08:36:00+00:00,BTC,0.0067691,406.15,transfer_out,WALLET-ACC-00022,CP-ACC-00022-04,DEV-00022-A,JP,468,0,normal
TX-0000695,ACC-00024,2025-01-05T08:37:00+00:00,ETH,0.06705301,201.16,withdrawal,WALLET-ACC-00024,CP-ACC-00024-02,DEV-00024-A,US,831,0,normal
TX-0000002,ACC-00001,2025-01-05T10:28:00+00:00,USDC,677.79528083,677.8,transfer_in,CP-ACC-00001-01,WALLET-ACC-00001,DEV-00001-A,TW,252,0,normal
TX-0000782,ACC-00027,2025-01-05T11:09:00+00:00,BTC,0.0126268,757.61,deposit,CP-ACC-00027-03,WALLET-ACC-00027,DEV-00027-A,JP,1200,0,normal
TX-0001444,ACC-00049,2025-01-05T11:14:00+00:00,ETH,0.24970583,749.12,transfer_in,CP-ACC-00049-04,WALLET-ACC-00049,DEV-00049-A,US,385,0,normal
TX-0000453,ACC-00016,2025-01-05T11:39:00+00:00,ETH,0.12687852,380.64,trade,WALLET-ACC-00016,EXTERNAL-OUT,DEV-00016-B,TW,694,0,normal
TX-0000483,ACC-00017,2025-01-05T11:41:00+00:00,USDC,542.14341088,542.14,deposit,CP-ACC-00017-02,WALLET-ACC-00017,DEV-00017-A,JP,666,0,normal
TX-0001389,ACC-00047,2025-01-05T11:55:00+00:00,ETH,0.35261743,1057.85,trade,WALLET-ACC-00047,EXTERNAL-OUT,DEV-00047-A,JP,694,0,normal
